x,numerical_real,numerical_imag,exact,error_abs
4.2623360399750156e+00,8.5248737691853141e-05,-2.4651895551075021e-10,8.5248781914362828e-05,2.5045403927499455e-10
4.2723297938788258e+00,8.1689609124839350e-05,-2.5086572470506448e-10,8.1689637077933969e-05,2.5241827851913017e-10
4.2823235477826360e+00,7.8271257513905392e-05,-2.5419407211584163e-10,7.8271269137859660e-05,2.5445970724586303e-10
4.2923173016864462e+00,7.4988460372772992e-05,-2.5649216032211852e-10,7.4988455672608324e-05,2.5653522146992092e-10
4.3023110555902564e+00,7.1836174238998698e-05,-2.5775290573643505e-10,7.1836153285139364e-05,2.5860321853485411e-10
4.3123048094940666e+00,6.8809529139310653e-05,-2.5797336518357380e-10,6.8809492066733495e-05,2.6062354675149317e-10
4.3222985633978768e+00,6.5903823200706924e-05,-2.5715489647767801e-10,6.5903770208476881e-05,2.6255821683463829e-10
4.3322923173016861e+00,6.3114517406865812e-05,-2.5530363979446363e-10,6.3114448757353766e-05,2.6437228295809109e-10
4.3422860712054963e+00,6.0437230496441687e-05,-2.5242914795456915e-10,6.0437146513928618e-05,2.6603296269155660e-10
4.3522798251093064e+00,5.7867733999689364e-05,-2.4854496929064347e-10,5.7867635068635517e-05,2.6751066366572986e-10
4.3622735790131166e+00,5.5401947410500549e-05,-2.4366911105229514e-10,5.5401833973714089e-05,2.6877972431608091e-10
4.3722673329169268e+00,5.3035933490205819e-05,-2.3782336858987939e-10,5.3035806047872562e-05,2.6981753640830987e-10
4.3822610868207370e+00,5.0765893704195168e-05,-2.3103329064986427e-10,5.0765752810788112e-05,2.7060549429048805e-10
4.3922548407245472e+00,4.8588163780866883e-05,-2.2332875041733858e-10,4.8588010044588103e-05,2.7112833525123554e-10
4.4022485946283574e+00,4.6499209401551440e-05,-2.1474227039316226e-10,4.6499043479492816e-05,2.7137496611096380e-10
4.4122423485321676e+00,4.4495622003953247e-05,-2.0531004871668346e-10,4.4495444600833993e-05,2.7133758093005556e-10
4.4222361024359778e+00,4.2574114710677198e-05,-1.9507134483307074e-10,4.2573926574701989e-05,2.7101286822412180e-10
4.4322298563397879e+00,4.0731518368885726e-05,-1.8406873221067503e-10,4.0731320289508843e-05,2.7040106827390415e-10
4.4422236102435981e+00,3.8964777706263926e-05,-1.7234769734885617e-10,3.8964570510793462e-05,2.6950638538281558e-10
4.4522173641474074e+00,3.7270947596772439e-05,-1.5995665914454423e-10,3.7270732146633780e-05,2.6833727853794561e-10
4.4622111180512176e+00,3.5647189433724315e-05,-1.4694638352132213e-10,3.5646966621065089e-05,2.6690582747734227e-10
4.4722048719550278e+00,3.4090767609003183e-05,-1.3337006451758383e-10,3.4090538352950253e-05,2.6522803757239580e-10
4.4821986258588380e+00,3.2599046095922060e-05,-1.1928235966169698e-10,3.2598811337776072e-05,2.6332426480283178e-10
4.4921923797626482e+00,3.1169485129664528e-05,-1.0474090882405017e-10,3.1169245829899093e-05,2.6121836788107324e-10
4.5021861336664584e+00,2.9799637988706688e-05,-8.9804363496645296e-11,2.9799395122797640e-05,2.5893758607192369e-10
4.5121798875702686e+00,2.8487147870295371e-05,-7.4533720170340246e-11,2.8486902424928829e-05,2.5651257941788601e-10
4.5221736414740787e+00,2.7229744860036314e-05,-5.8990589234979903e-11,2.7229497828828687e-05,2.5397698155519098e-10
4.5321673953778889e+00,2.6025242991812973e-05,-4.3237890166440999e-11,2.6024995371133841e-05,2.5136729278091939e-10
4.5421611492816991e+00,2.4871537396539601e-05,-2.7339061570152978e-11,2.4871290181242512e-05,2.4872239023086636e-10
4.5521549031855093e+00,2.3766601536628142e-05,-1.1358335421567198e-11,2.3766355716373067e-05,2.4608252597171452e-10
4.5621486570893195e+00,2.2708484525789174e-05,4.6399818327282592e-12,2.2708241080818564e-05,2.4348918486603732e-10
4.5721424109931297e+00,2.1695308528672565e-05,2.0590936257219774e-11,2.1695068427235166e-05,2.4098275228163573e-10
4.5821361648969390e+00,2.0725266244422087e-05,3.6430068343077564e-11,2.0725030437842350e-05,2.3860405052498474e-10
4.5921299188007492e+00,1.9796618464045884e-05,5.2093639331971062e-11,1.9796387883452684e-05,2.3639195675683434e-10
4.6021236727045594e+00,1.8907691705924398e-05,6.7518906744028196e-11,1.8907467258289234e-05,2.3438332640878500e-10
4.6121174266083695e+00,1.8056875924061539e-05,8.2643993787377776e-11,1.8056658488586078e-05,2.3261172734428703e-10
4.6221111805121797e+00,1.7242622287438954e-05,9.7408237246439399e-11,1.7242412713009129e-05,2.3110561724009200e-10
4.6321049344159899e+00,1.6463441031512513e-05,1.1175277433176029e-10,1.6463240132971723e-05,2.2988889982495256e-10
4.6420986883198001e+00,1.5717899375295580e-05,1.2561999521212830e-10,1.5717707930959228e-05,2.2897885736173254e-10
4.6520924422236103e+00,1.5004619507083745e-05,1.3895516639810809e-10,1.5004438255014555e-05,2.2838750152879361e-10
4.6620861961274205e+00,1.4322276632130700e-05,1.5170567764674175e-10,1.4322106267575547e-05,2.2811991206925012e-10
4.6720799500312307e+00,1.3669597084201889e-05,1.6382132982061378e-10,1.3669438256892374e-05,2.2817436830598097e-10
4.6820737039350409e+00,1.3045356497715684e-05,1.7525492065602680e-10,1.3045209809291073e-05,2.2854273370424879e-10
4.6920674578388510e+00,1.2448378038396394e-05,1.8596179201711504e-10,1.2448244040586382e-05,2.2920994999798996e-10
4.7020612117426612e+00,1.1877530692696505e-05,1.9590020704149922e-10,1.1877409884983879e-05,2.3015515320923965e-10
4.7120549656464705e+00,1.1331727611878182e-05,2.0503173388263413e-10,1.1331620439848111e-05,2.3135223346365725e-10
4.7220487195502807e+00,1.0809924511421335e-05,2.1332163351537312e-10,1.0809831364748754e-05,2.3277117935527826e-10
4.7320424734540909e+00,1.0311118122979309e-05,2.2073878137356210e-10,1.0311039333233932e-05,2.3437882493686379e-10
4.7420362273579011e+00,9.8343446952550806e-06,2.2725481780563954e-10,9.8342805358130375e-06,2.3613806601045415e-10
4.7520299812617113e+00,9.3786785483196111e-06,2.3284579251371765e-10,9.3786292326680443e-06,2.3801091693617890e-10
4.7620237351655215e+00,8.9432306727407511e-06,2.3749093389856631e-10,8.9431963546455749e-06,2.3995765322351286e-10
4.7720174890693317e+00,8.5271473788633483e-06,2.4117299275085467e-10,8.5271281511161564e-06,2.4193825388821515e-10
