x,numerical_real,numerical_imag,exact,error_abs
-7.8400999375390379e+00,-8.1329555170075055e-11,-1.6262060553014629e-10,3.3751012205690315e-14,1.8183907428246278e-10
-7.8301061836352277e+00,-7.2212238779612766e-11,-1.6852162801810640e-10,3.6500008736589032e-14,1.8335599081126354e-10
-7.8201124297314175e+00,-6.2781378008686685e-11,-1.7371652548061517e-10,3.9468966963380393e-14,1.8472652771000506e-10
-7.8101186758276073e+00,-5.3074952814490944e-11,-1.7818310159671075e-10,4.2675161717741347e-14,1.8593197706807363e-10
-7.8001249219237980e+00,-4.3132489486224538e-11,-1.8190237569619294e-10,4.6137198090283918e-14,1.8695686156507428e-10
-7.7901311680199878e+00,-3.2994344314209604e-11,-1.8485828449142734e-10,4.9875111758034166e-14,1.8778846019546831e-10
-7.7801374141161777e+00,-2.2701786269466253e-11,-1.8703811307280058e-10,5.3910476713120044e-14,1.8841729611752158e-10
-7.7701436602123675e+00,-1.2297158777168768e-11,-1.8843222592414314e-10,5.8266520925938131e-14,1.8883686160552478e-10
-7.7601499063085573e+00,-1.8228640457136055e-12,-1.8903401934343778e-10,6.2968250513512409e-14,1.8904342578514785e-10
-7.7501561524047471e+00,8.6779957193722266e-12,-1.8884046872051193e-10,6.8042583023795025e-14,1.8903664702801085e-10
-7.7401623985009369e+00,1.9162424047146741e-11,-1.8785187087891108e-10,7.3518490489403922e-14,1.8881925671937717e-10
-7.7301686445971267e+00,2.9587349112626217e-11,-1.8607174565993653e-10,7.9427152949953021e-14,1.8839695324318400e-10
-7.7201748906933165e+00,3.9909910692351524e-11,-1.8350709875861107e-10,8.5802123190910688e-14,1.8777863275178817e-10
-7.7101811367895063e+00,5.0087677631301447e-11,-1.8016805680207457e-10,9.2679503498981038e-14,1.8697601057257196e-10
-7.7001873828856962e+00,6.0078575892757435e-11,-1.7606774741875356e-10,1.0009813528961628e-13,1.8600341253648296e-10
-7.6901936289818860e+00,6.9841764270968715e-11,-1.7122256777245659e-10,1.0809980252162782e-13,1.8487820767951925e-10
-7.6801998750780758e+00,7.9337208357198003e-11,-1.6565234972263840e-10,1.1672944987721665e-13,1.8362076474880653e-10
-7.6702061211742665e+00,8.8525979736521439e-11,-1.5937966203352325e-10,1.2603541675338782e-13,1.8225374296748525e-10
-7.6602123672704563e+00,9.7370415896812815e-11,-1.5243017060653548e-10,1.3606968818288179e-13,1.8080230914940554e-10
-7.6502186133666461e+00,1.0583373099556311e-10,-1.4483244874667446e-10,1.4688816387975826e-13,1.7929346602061945e-10
-7.6402248594628359e+00,1.1388133984054439e-10,-1.3661740558015608e-10,1.5855094668696374e-13,1.7775597942474318e-10
-7.6302311055590257e+00,1.2148007601227835e-10,-1.2781851254008625e-10,1.7112265179085519e-13,1.7621984653658373e-10
-7.6202373516552155e+00,1.2859864256224452e-10,-1.1847192892561144e-10,1.8467273816115346e-13,1.7471618582528557e-10
-7.6102435977514054e+00,1.3520774331560726e-10,-1.0861601543988639e-10,1.9927586377454890e-13,1.7327644125422882e-10
-7.6002498438475952e+00,1.4128013290144786e-10,-9.8291184036478745e-11,2.1501226628651278e-13,1.7193174552451201e-10
-7.5902560899437850e+00,1.4679064518086699e-10,-8.7539901138564168e-11,2.3196817092928187e-13,1.7071227284015883e-10
-7.5802623360399748e+00,1.5171622916787931e-10,-7.6406220862194922e-11,2.5023622753488579e-13,1.6964627200102860e-10
-7.5702685821361646e+00,1.5603669192392597e-10,-6.4935581215152468e-11,2.6991597871097737e-13,1.6875994251040877e-10
-7.5602748282323544e+00,1.5973375705422760e-10,-5.3175198811919710e-11,2.9111436133460375e-13,1.6807604849466426e-10
-7.5502810743285442e+00,1.6279195491373743e-10,-4.1173498981271153e-11,3.1394624367549573e-13,1.6761372354240405e-10
-7.5402873204247349e+00,1.6519830996782353e-10,-2.8979870346101301e-11,3.3853500061644401e-13,1.6738750935334155e-10
-7.5302935665209247e+00,1.6694212617442023e-10,-1.6644735366479753e-11,3.6501312960464998e-13,1.6740663608640312e-10
-7.5202998126171146e+00,1.6801538701645747e-10,-4.2189791379648644e-12,3.9352291014497281e-13,1.6767495075723647e-10
-7.5103060587133044e+00,1.6841270972777371e-10,8.2462895203684333e-12,4.2421710983478068e-13,1.6819076949375392e-10
-7.5003123048094942e+00,1.6813164600534131e-10,2.0699477059530317e-11,4.5725974014099964e-13,1.6894723483960790e-10
-7.4903185509056840e+00,1.6717236029192175e-10,3.3089029413110361e-11,4.9282686533402310e-13,1.6993219450947681e-10
-7.4803247970018738e+00,1.6553769398544416e-10,4.5363475536762561e-11,5.3110746822106899e-13,1.7112866068207363e-10
-7.4703310430980636e+00,1.6323327563189906e-10,5.7471862062795105e-11,5.7230437656422176e-13,1.7251552538451089e-10
-7.4603372891942534e+00,1.6026719350986359e-10,6.9363688755565890e-11,6.1663525432673083e-13,1.7406786627371401e-10
-7.4503435352904432e+00,1.5665079284629553e-10,8.0989756536305727e-11,6.6433366216619037e-13,1.7575868716115323e-10
-7.4403497813866331e+00,1.5239800434495497e-10,9.2301637181280032e-11,7.1565019188586599e-13,1.7755880374614415e-10
-7.4303560274828229e+00,1.4752541947790089e-10,1.0325194933485580e-10,7.7085367986694321e-13,1.7943764271751094e-10
-7.4203622735790127e+00,1.4205222279150079e-10,1.1379486750589960e-10,8.3023250483596738e-13,1.8136406041774676e-10
-7.4103685196752034e+00,1.3600008642707359e-10,1.2388607303959052e-10,8.9409597567428407e-13,1.8330681315495163e-10
-7.4003747657713932e+00,1.2939297763237199e-10,1.3348304351701644e-10,9.6277581535161011e-13,1.8523509290986492e-10
