x,y,numerical_real,numerical_imag,exact,error_abs
-6.0165289256198351e+00,-7.8677685950413228e+00,-1.8890200469523834e-17,3.5322551758463695e-17,2.8131521437206417e-22,4.0056621984247155e-17
-5.8842975206611570e+00,-7.8677685950413228e+00,-3.0157494317573651e-17,4.1287482317707198e-17,6.1788805516720185e-22,5.1128934351717934e-17
-5.7520661157024797e+00,-7.8677685950413228e+00,-4.7674208027199077e-17,3.3069569633483622e-17,1.3336217715047674e-21,5.8022010541401883e-17
-5.6198347107438016e+00,-7.8677685950413228e+00,-8.3365972974401594e-17,5.2118950616000454e-17,2.8285369222057296e-21,9.8319591530618150e-17
-5.4876033057851243e+00,-7.8677685950413228e+00,-1.6390454163526846e-16,7.4931994826737231e-17,5.8951834704037368e-21,1.8022606677954208e-16
-5.3553719008264462e+00,-7.8677685950413228e+00,-3.2158827649938539e-16,1.3690931002502135e-16,1.2073664334619694e-20,3.4952960446427815e-16
-5.2231404958677690e+00,-7.8677685950413228e+00,-6.0526972649017987e-16,2.5195068515241794e-16,2.4298930999874013e-20,6.5563709852276405e-16
-5.0909090909090908e+00,-7.8677685950413228e+00,-1.2025249296422423e-15,4.6998279891406245e-16,4.8055326927222488e-20,1.2911489516909946e-15
-4.9586776859504136e+00,-7.8677685950413228e+00,-2.3168977511093568e-15,9.0073216613055990e-16,9.3390392957752821e-20,2.4859135916001684e-15
-4.8264462809917354e+00,-7.8677685950413228e+00,-4.4281120445277726e-15,1.7082773094683804e-15,1.7834837950795864e-19,4.7463635733010849e-15
-4.6942148760330582e+00,-7.8677685950413228e+00,-8.3032369737894079e-15,3.1610093429210291e-15,3.3468976435733004e-19,8.8848906823779823e-15
