x,y,numerical_real,numerical_imag,exact,error_abs
2.4462809917355379e+00,-8.0000000000000000e+00,-4.2556616980906867e-09,-7.6437354138470859e-10,3.5853324369220212e-16,4.3237629966219955e-09
2.5785123966942152e+00,-8.0000000000000000e+00,-3.0527185415059558e-09,-5.4830897175971126e-10,2.5718704995926730e-16,3.1015697303794186e-09
2.7107438016528924e+00,-8.0000000000000000e+00,-2.1518536307730028e-09,-3.8650166221583639e-10,1.8129050631227013e-16,2.1862887191283452e-09
2.8429752066115697e+00,-8.0000000000000000e+00,-1.4905446566289803e-09,-2.6772173296736842e-10,1.2557619656315718e-16,1.5143971322153674e-09
2.9752066115702487e+00,-8.0000000000000000e+00,-1.0145735745898984e-09,-1.8223097857371206e-10,8.5476333820181582e-17,1.0308093137201097e-09
3.1074380165289259e+00,-8.0000000000000000e+00,-6.7862274678778040e-10,-1.2188970498487312e-10,5.7172969052838557e-17,6.8948242199264895e-10
3.2396694214876032e+00,-8.0000000000000000e+00,-4.4604593181429871e-10,-8.0115770823617459e-11,3.7578713159641714e-17,4.5318378561728585e-10
3.3719008264462822e+00,-8.0000000000000000e+00,-2.8809589012724639e-10,-5.1745804001447860e-11,2.4271653317426707e-17,2.9270613954116921e-10
3.5041322314049594e+00,-8.0000000000000000e+00,-1.8285246485429050e-10,-3.2842713639887265e-11,1.5405050086880815e-17,1.8577856005530933e-10
3.6363636363636367e+00,-8.0000000000000000e+00,-1.1404356231859186e-10,-2.0483735527102109e-11,9.6080038264497561e-18,1.1586854499354374e-10
3.7685950413223139e+00,-8.0000000000000000e+00,-6.9895147479698292e-11,-1.2554118203718122e-11,5.8885656096149610e-18,7.1013649027817595e-11
3.9008264462809912e+00,-8.0000000000000000e+00,-4.2094887526680505e-11,-7.5608105256721629e-12,3.5464363313405583e-18,4.2768513070513527e-11
4.0330578512396702e+00,-8.0000000000000000e+00,-2.4912540431716396e-11,-4.4746195817741798e-12,2.0988486138390367e-18,2.5311202969017641e-11
4.1652892561983474e+00,-8.0000000000000000e+00,-1.4488170223108990e-11,-2.6022273162297650e-12,1.2206084172123818e-18,1.4720010149041368e-11
4.2975206611570247e+00,-8.0000000000000000e+00,-8.2797172732624993e-12,-1.4870843908571055e-12,6.9755411395303696e-19,8.4122024263443888e-12
4.4297520661157037e+00,-8.0000000000000000e+00,-4.6496792335882031e-12,-8.3509168884571178e-13,3.9172902042420737e-19,4.7240764967207396e-12
4.5619834710743810e+00,-8.0000000000000000e+00,-2.5658596891026693e-12,-4.6084474726120327e-13,2.1617222215306596e-19,2.6069167486852195e-12
4.6942148760330582e+00,-8.0000000000000000e+00,-1.3913847376214837e-12,-2.4992798085805384e-13,1.1722502271698536e-19,1.4136533556399241e-12
4.8264462809917354e+00,-8.0000000000000000e+00,-7.4137322962610839e-13,-1.3319832033179217e-13,6.2466484087146980e-20,7.5324375255784175e-13
4.9586776859504127e+00,-8.0000000000000000e+00,-3.8818183160429959e-13,-6.9759908004711306e-14,3.2709966368534021e-20,3.9440031002437736e-13
5.0909090909090917e+00,-8.0000000000000000e+00,-1.9972955768509835e-13,-3.5890040481101620e-14,1.6831368600509278e-20,2.0292855378744520e-13
5.2231404958677690e+00,-8.0000000000000000e+00,-1.0100547336249489e-13,-1.8137025033609991e-14,8.5106957003249242e-21,1.0262094837558864e-13
5.3553719008264462e+00,-8.0000000000000000e+00,-5.0218951015083165e-14,-9.0017744933837766e-15,4.2287985072407920e-21,5.1019363087133159e-14
5.4876033057851252e+00,-8.0000000000000000e+00,-2.4548953949728077e-14,-4.4075730898128808e-15,2.0647868259904845e-21,2.4941490371359732e-14
5.6198347107438025e+00,-8.0000000000000000e+00,-1.1785105302149463e-14,-2.1345577817363686e-15,9.9069448866501241e-22,1.1976855482855315e-14
5.7520661157024797e+00,-8.0000000000000000e+00,-5.5437281505576807e-15,-1.0289900897995593e-15,4.6710075750510436e-22,5.6384171175207359e-15
5.8842975206611570e+00,-8.0000000000000000e+00,-2.5329612217609922e-15,-4.8692022416108921e-16,2.1641516717014835e-22,2.5793380840798132e-15
6.0165289256198342e+00,-8.0000000000000000e+00,-1.1242053295612299e-15,-2.1928980903822988e-16,9.8530597309187862e-23,1.1453933232296893e-15
6.1487603305785132e+00,-8.0000000000000000e+00,-4.7886615452798264e-16,-7.5160236475612165e-17,4.4081953785257821e-23,4.8472868423294383e-16
6.2809917355371905e+00,-8.0000000000000000e+00,-2.4498375558972811e-16,-2.5943639361333176e-17,1.9380137434271478e-23,2.4635365315293508e-16
6.4132231404958677e+00,-8.0000000000000000e+00,-1.2181230074339701e-16,2.7999624962523540e-18,8.3725773484454701e-24,1.2184448466034934e-16
6.5454545454545467e+00,-8.0000000000000000e+00,-7.0701963188030898e-17,-4.3409409758643674e-18,3.5544121311418468e-24,7.0835103372589630e-17
6.6776859504132240e+00,-8.0000000000000000e+00,-3.1051668384770136e-17,-2.2620537355350415e-17,1.4828004010453766e-24,3.8417377732080981e-17
6.8099173553719012e+00,-8.0000000000000000e+00,1.1411636099686848e-17,-1.7871718121169991e-17,6.0786047542157965e-25,2.1204332887428154e-17
6.9421487603305785e+00,-8.0000000000000000e+00,4.0105746699661743e-18,-1.8577884146984375e-17,2.4486765052267939e-25,1.9005854008647643e-17
7.0743801652892557e+00,-8.0000000000000000e+00,-1.4112531747460686e-18,-2.2608972102092102e-18,9.6931564258396307e-26,2.6652001785893331e-18
7.2066115702479348e+00,-8.0000000000000000e+00,-2.2064870019140086e-17,1.2304694972853302e-17,3.7705554043008109e-26,2.5263887448301473e-17
7.3388429752066120e+00,-8.0000000000000000e+00,-6.1871500328579570e-17,2.1571345361030103e-17,1.4412911842345778e-26,6.5524083323444920e-17
7.4710743801652892e+00,-8.0000000000000000e+00,-7.5683307722102210e-17,1.0962221120105006e-17,5.4138277278605004e-27,7.6473089125940021e-17
7.6033057851239683e+00,-8.0000000000000000e+00,-6.3741969291038062e-17,1.3315237864918837e-17,1.9983126248189415e-27,6.5117848618898335e-17
7.7355371900826455e+00,-8.0000000000000000e+00,-2.5683419835786375e-17,9.5984637676189161e-18,7.2481760023640251e-28,2.7418398224491337e-17
